pc_name,No,Type,state_name,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Turnout Votes,Calculated Margin %,Is Outlier
Andaman And Nicobar Islands,1,GEN,Andaman and Nicobar,bishnu pada ray,bharatiya janta party,269360,190328,70.70%,7812,4.10%,190437.52,4.104493296,FALSE
Amalapuram,24,SC,Andhra Pradesh,dr pandula ravindra babu,telugu desam,1357866,1120927,82.60%,120576,10.80%,1121597.316,10.7568111,FALSE
Anakapalle,22,GEN,Andhra Pradesh,muttamsetti srinivasa rao (avanthi),telugu desam,1401474,1148072,81.90%,47932,4.20%,1147807.206,4.174999477,FALSE
Anantapur,36,GEN,Andhra Pradesh,j.c. divakar reddi,telugu desam,1536912,1205054,78.40%,61269,5.10%,1204939.008,5.08433647,FALSE
Araku,18,ST,Andhra Pradesh,kothapalli geetha,yuvajana sramika rythu congress party,1272724,909614,71.50%,91398,10.00%,909997.66,10.04799838,FALSE
Bapatla,32,SC,Andhra Pradesh,malyadri sriram,telugu desam,1392965,1184634,85.00%,32754,2.80%,1184020.25,2.764904603,FALSE
Chittoor,42,SC,Andhra Pradesh,naramalli sivaprasad,telugu desam,1452141,1198915,82.60%,44138,3.70%,1199468.466,3.681495352,FALSE
Eluru,27,GEN,Andhra Pradesh,maganti venkateswara rao (babu),telugu desam,1427760,1201696,84.20%,101926,8.50%,1202173.92,8.481845658,FALSE
Guntur,30,GEN,Andhra Pradesh,jayadev galla,telugu desam,1572016,1244926,79.20%,69111,5.60%,1245036.672,5.551414301,FALSE
Hindupur,37,GEN,Andhra Pradesh,kristappa nimmala,telugu desam,1446503,1177257,81.40%,97325,8.30%,1177453.442,8.267098858,FALSE
Kadapa,38,GEN,Andhra Pradesh,y.s. avinash reddy,yuvajana sramika rythu congress party,1550579,1200662,77.40%,190323,15.90%,1200148.146,15.85150525,FALSE
Kakinada,23,GEN,Andhra Pradesh,thota narasimham,telugu desam,1418290,1099999,77.60%,3431,0.30%,1100593.04,0.311909374,FALSE
