sl no,constituency,over total electors in constituency,over total votes polled in constituency
1,Aruku,74.03,99.66
2,Srikakulam,74.48,99.4
3,Vizianagaram,80.98,99.63
4,Visakhapatnam,67.77,99.99
5,Anakapalli,81.41,99.84
6,Kakinada,78.95,99.83
7,Amalapuram,84.47,99.8
8,Rajahmundry,81.5,100
9,Narsapuram,81.8,99.88
10,Eluru,83.26,99.68
11,Machilipatnam,84.47,99.92
12,Vijayawada,77.3,99.99
13,Guntur,79.21,100
14,Narasaraopet,86.05,99.77
15,Bapatla,86.23,99.72
16,Ongole,86.24,99.88
17,Nandyal,81.03,99.95
18,Kurnool,75.54,99.8
19,Anantapur,80.66,99.57
20,Hindupur,84.81,99.89
21,Kadapa,78.22,99.41
22,Nellore,76.94,99.84
23,Tirupati,79.59,99.78
24,Rajampet,79.15,99.85
25,Chittoor,84.23,99.99
26,ARUNACHAL WEST,77.26,98.42
27,ARUNACHAL EAST,86.46,99.34
28,Karimganj,79.1,99.9
29,Silchar,79.42,99.9
30,Autonomous District,77.61,99.98
31,Dhubri,90.66,100
32,Kokrajhar,83.29,99.98
33,Barpeta,86.55,99.98
34,Gauhati,80.86,99.99
35,Mangaldoi,83.66,99.98
36,Tezpur,79.37,99.86
37,Nowgong,83.22,99.99
38,Kaliabor,82.12,99.99
39,Jorhat,77.5,99.92
40,Dibrugarh,77.28,99.98
41,Lakhimpur,75.15,99.97
42,Valmiki Nagar,61.97,99.99
43,Paschim Champaran,62,99.96
44,Purvi Champaran,60.25,99.93
45,Sheohar,59.57,99.96
46,Sitamarhi,59.28,99.93
47,Madhubani,53.75,99.9
48,Jhanjharpur,57.25,99.83
49,Supaul,65.7,99.98
50,Araria,64.78,99.99
51,Kishanganj,66.38,100
52,Katihar,67.6,99.95
53,Purnia,65.37,100
54,Madhepura,60.87,99.97
55,Darbhanga,58.31,99.95
56,Muzaffarpur,61.14,99.96
57,Vaishali,61.91,100
58,Gopalganj,55.71,99.88
59,Siwan,54.73,100
60,Maharajganj,53.81,99.97
61,Saran,56.56,99.94
62,Hajipur,55.21,99.91
63,Ujiarpur,60.12,99.94
64,Samastipur,60.69,99.93
65,Begusarai,62.58,99.93
66,Khagaria,57.67,99.94
67,Bhagalpur,57.16,99.94
68,Banka,58.6,99.99
69,Munger,54.89,99.98
70,Nalanda,48.76,99.94
71,Patna Sahib,45.77,99.93
72,Pataliputra,55.97,99.9
73,Arrah,51.72,99.84
74,Buxar,53.95,99.99
75,Sasaram,54.52,99.92
76,Karakat,49.05,99.91
77,Jahanabad,51.75,99.98
78,Aurangabad,53.64,99.94
79,Gaya,56.16,99.96
80,Nawada,49.61,99.76
81,Jamui,55.22,99.96
82,North Goa,76.99,99.91
83,South Goa,73.28,99.97
84,Kachchh,58.66,99.91
85,Banaskantha,64.93,99.85
86,Patan,62.33,99.81
87,Mahesana,65.62,99.75
88,Sabarkantha,67.62,99.79
89,Gandhinagar,65.99,99.86
